cell,rotation,estimate
541557114,0,6.99939268066474e-05
541557114,10,0.00011595143220588844
541557114,100,0.00014360663168338342
541557114,110,0.0001237163113179922
541557114,120,9.694784384216843e-05
541557114,130,7.292299697363324e-05
541557114,140,6.816667988453724e-05
541557114,150,6.908483947336242e-05
541557114,160,6.41088868869689e-05
541557114,170,6.128473812917298e-05
541557114,180,4.1722690725344066e-05
541557114,190,1.2364767241966732e-05
541557114,20,0.0001427218424783806
541557114,200,3.7804936998193423e-05
541557114,210,7.558279945662165e-05
541557114,220,0.00013651088826177414
541557114,230,0.0001964741196411017
541557114,240,0.00024907393765974406
541557114,250,0.0003118610827624129
541557114,260,0.00036917282327792963
541557114,270,0.0003665380949419881
541557114,280,0.00035804755850240617
541557114,290,0.00032856110440825163
541557114,30,0.00014295633346808346
541557114,300,0.000281716535627355
541557114,310,0.000234349956964853
541557114,320,0.00019627064930627074
541557114,330,0.00013987091404606545
541557114,340,5.725345708166831e-05
541557114,350,3.959270552521942e-06
541557114,40,0.0001477971164186649
541557114,50,0.00016904584056466927
541557114,60,0.00016812020407067392
541557114,70,0.0001725439417643734
541557114,80,0.0001767673984112769
541557114,90,0.0001665954422840749
569835804,0,4.613270986578217e-05
569835804,10,4.376192428281458e-05
569835804,100,3.976035141233422e-05
569835804,110,4.674770905861803e-05
569835804,120,4.99832135669608e-05
569835804,130,5.2022869644492524e-05
569835804,140,5.20506026416602e-05
569835804,150,5.595439181105027e-05
569835804,160,5.8872194634596324e-05
569835804,170,5.566365401642787e-05
569835804,180,4.992956995265506e-05
569835804,190,4.721515840560862e-05
569835804,20,4.119767657171338e-05
569835804,200,4.4098374908475376e-05
569835804,210,4.0355773549352525e-05
569835804,220,4.1742521490783805e-05
569835804,230,4.029680331252469e-05
569835804,240,3.524519499843457e-05
569835804,250,3.157961912898039e-05
569835804,260,1.866126206891616e-05
569835804,270,7.331077768721653e-07
569835804,280,1.3816389020817338e-05
569835804,290,2.3131799003572543e-05
569835804,30,3.313056664551905e-05
569835804,300,3.0819095980174794e-05
569835804,310,3.588707523906855e-05
569835804,320,4.043744915923625e-05
569835804,330,4.704136509519591e-05
569835804,340,4.6793232862105965e-05
569835804,350,4.756400842672466e-05
569835804,40,2.8843178737733898e-05
569835804,50,2.2107374766348424e-05
569835804,60,1.2257632520422362e-05
569835804,70,5.758239933353548e-06
569835804,80,2.066546028574641e-05
569835804,90,3.114234419551483e-05
569860121,0,9.582778422986596e-06
569860121,10,2.928063917254219e-05
569860121,100,0.00010572793357616247
569860121,110,9.762020228300974e-05
569860121,120,8.646089477123292e-05
569860121,130,7.706062329054812e-05
569860121,140,6.89634228680769e-05
569860121,150,6.248677873363037e-05
569860121,160,5.234375464416327e-05
569860121,170,4.339297089195718e-05
569860121,180,2.9590557888366224e-05
569860121,190,9.407385043094654e-06
569860121,20,4.29923542951777e-05
569860121,200,1.3676579034337746e-05
569860121,210,3.526453239891942e-05
569860121,220,6.14323960627414e-05
569860121,230,9.273407964855075e-05
569860121,240,0.00011478601753220087
569860121,250,0.0001296293262201947
569860121,260,0.00014437070794740976
569860121,270,0.00015222005339976812
569860121,280,0.00015584208779036648
569860121,290,0.00014032642571160103
569860121,30,5.663683910037504e-05
569860121,300,0.00012666221748721743
569860121,310,0.00010686325945145751
569860121,320,8.35709055381273e-05
569860121,330,6.0135471115514275e-05
569860121,340,3.5120779747483937e-05
569860121,350,1.601251881037966e-05
569860121,40,6.8861524758196e-05
569860121,50,8.391768336578687e-05
569860121,60,9.440444158449056e-05
569860121,70,0.00010135925096318424
569860121,80,0.00010868994353864644
569860121,90,0.0001114702241209938
571732727,0,0.0003189632073336715
571732727,10,0.00036093118196487794
571732727,100,0.0002933742082992573
571732727,110,0.00027030849287402043
571732727,120,0.0002638432452973695
571732727,130,0.0002652394034403051
571732727,140,0.00023268740389628263
571732727,150,0.00018973723630406528
571732727,160,0.0001547804329532223
571732727,170,0.00013484069925801922
571732727,180,9.000688529676534e-05
571732727,190,2.5384028735847285e-05
571732727,20,0.0003890584424193187
571732727,200,3.67181015047731e-05
571732727,210,0.00012790399503833608
571732727,220,0.00022925894719753252
571732727,230,0.00044797108853058897
571732727,240,0.0006561010644271306
571732727,250,0.0008020390167777759
571732727,260,0.0008542977973427697
571732727,270,0.00084196554522031
571732727,280,0.0007567713074026596
571732727,290,0.0006181444156048169
571732727,30,0.0004476973496448314
571732727,300,0.000411118615349499
571732727,310,0.00026417689703246065
571732727,320,0.00016131368416160967
571732727,330,3.7910837477827356e-05
571732727,340,0.0001093953320671431
571732727,350,0.00023398957714524757
571732727,40,0.00047271447817393036
571732727,50,0.0004216562038029987
571732727,60,0.00038056101125280285
571732727,70,0.00036744845619973926
571732727,80,0.00034766481218044955
571732727,90,0.00033012836566800993
576110753,0,1.728021200564041e-05
576110753,10,6.068218119084748e-06
576110753,100,0.00011653521915904212
576110753,110,0.0001340340631387033
576110753,120,0.00015078634035415255
576110753,130,0.00016906174211979387
576110753,140,0.0001740227813451429
576110753,150,0.0001631523580348183
576110753,160,0.0001344878370153556
576110753,170,9.865739569567123e-05
576110753,180,7.500229525218675e-05
576110753,190,5.185996093851659e-05
576110753,20,5.5495608979042374e-06
576110753,200,2.5359958356345798e-05
576110753,210,3.478049284731335e-06
576110753,220,4.4551541055720505e-05
576110753,230,7.297626988663575e-05
576110753,240,0.00010712550731697669
576110753,250,0.00013789475662332183
576110753,260,0.00015813986776032945
576110753,270,0.00015113695997791054
576110753,280,0.00015969653750126948
576110753,290,0.0001848443533041948
576110753,30,2.109610143625877e-05
576110753,300,0.0001969739361248447
576110753,310,0.00018029690355296876
576110753,320,0.00015365011042731448
576110753,330,0.00011243791907253255
576110753,340,7.963521310294587e-05
576110753,350,4.247410343164338e-05
576110753,40,4.2464125696249e-05
576110753,50,5.099737241436782e-05
576110753,60,6.151273840832188e-05
576110753,70,7.741349421632872e-05
576110753,80,8.197838967624244e-05
576110753,90,0.00010129760120296827
576118161,0,8.379920337367985e-05
576118161,10,4.112549507575673e-05
576118161,100,0.0002173764459788112
576118161,110,0.0002320763527931036
576118161,120,0.00023278858565738315
576118161,130,0.0002222246396441766
576118161,140,0.00022083849588518697
576118161,150,0.00020144715866655363
576118161,160,0.00017496159336458734
576118161,170,0.00015794191072416214
576118161,180,0.0001433320869153735
576118161,190,0.0001283002647604089
576118161,20,1.1956906191199159e-05
576118161,200,9.590263974563459e-05
576118161,210,6.360627618488838e-05
576118161,220,3.739261158116831e-05
576118161,230,8.621522905550305e-06
576118161,240,2.805217190992621e-05
576118161,250,4.698872938101398e-05
576118161,260,6.837433518220894e-05
576118161,270,0.00010743151670270603
576118161,280,0.00013727570379156421
576118161,290,0.00016582832359673304
576118161,30,2.239357566061002e-05
576118161,300,0.000185397570510375
576118161,310,0.0001822112184365355
576118161,320,0.0001740501508307269
576118161,330,0.00015678685395968483
576118161,340,0.000132419366955264
576118161,350,0.00010953186057581661
576118161,40,6.561618867163637e-05
576118161,50,0.00011505179291427923
576118161,60,0.0001423688436538077
576118161,70,0.00017651725745073275
576118161,80,0.0001873186767065388
576118161,90,0.00020373671496668982
595572609,0,0.00011926426937675148
595572609,10,0.0001399057486579026
595572609,100,0.0001739078192958814
595572609,110,0.00019272097873394408
595572609,120,0.00022207595003561278
595572609,130,0.00019881001505225854
595572609,140,0.00018016682392662375
595572609,150,0.00016527677612123852
595572609,160,0.00014504124806065955
595572609,170,0.00011542885307293096
595572609,180,6.202756591777919e-05
595572609,190,1.2170857988470708e-05
595572609,20,0.00015284879248403992
595572609,200,9.232147608103499e-05
595572609,210,0.00016641381011515857
595572609,220,0.00025918146765965166
595572609,230,0.0003476671820283796
595572609,240,0.0004349111504396601
595572609,250,0.0005007305484046936
595572609,260,0.0005270304388403992
595572609,270,0.000510127248525724
595572609,280,0.0004488041344052878
595572609,290,0.00035229417410385347
595572609,30,0.00016078257942624233
595572609,300,0.0002142544474591417
595572609,310,0.00015369405123912466
595572609,320,8.036371228455335e-05
595572609,330,9.026976868486406e-06
595572609,340,5.4160714063446e-05
595572609,350,9.365191070005569e-05
595572609,40,0.00014501308785783525
595572609,50,0.00013572081679450877
595572609,60,0.00013971322152355568
595572609,70,0.00014187266359920784
595572609,80,0.00014434890830118932
595572609,90,0.00015543842011097364
595583062,0,6.412184776679023e-05
595583062,10,5.149955250576977e-05
595583062,100,0.00010780480199865049
595583062,110,0.00011190465870644432
595583062,120,0.00011965887882619415
595583062,130,0.00011594724982063895
595583062,140,0.00011840071567464625
595583062,150,0.00010544586649582045
595583062,160,9.495208951050354e-05
595583062,170,8.15391440095243e-05
595583062,180,7.04971295505029e-05
595583062,190,5.8857373826451655e-05
595583062,20,3.520078802136103e-05
595583062,200,4.8770901187310305e-05
595583062,210,2.9003977878860562e-05
595583062,220,1.3446198737102926e-05
595583062,230,3.8853812422539875e-06
595583062,240,3.43063627956667e-05
595583062,250,6.536122157347747e-05
595583062,260,9.366993559560561e-05
595583062,270,0.00012743177921060655
595583062,280,0.00014586690677426681
595583062,290,0.0001490687381324051
595583062,30,1.739425222943792e-05
595583062,300,0.00015274653638364214
595583062,310,0.00014751628228956625
595583062,320,0.00013023709802293754
595583062,330,0.00010835878416473084
595583062,340,8.62641017303027e-05
595583062,350,7.097813257289312e-05
595583062,40,2.9961356540051423e-06
595583062,50,1.1961228364431345e-05
595583062,60,3.195724192656032e-05
595583062,70,5.067050133518119e-05
595583062,80,7.321180084973402e-05
595583062,90,9.251206078652737e-05
602165685,0,1.6483253728271867e-05
602165685,10,2.9920069726323292e-05
602165685,100,0.00010700692846799022
602165685,110,9.358891525833101e-05
602165685,120,7.56699963780919e-05
602165685,130,6.009579062076149e-05
602165685,140,4.052796262740524e-05
602165685,150,2.657921928511328e-05
602165685,160,1.08514344928678e-05
602165685,170,6.036578986224149e-06
602165685,180,1.8567013805543026e-05
602165685,190,3.125176140706331e-05
602165685,20,5.948968414186981e-05
602165685,200,5.1346840216731523e-05
602165685,210,6.89080829467414e-05
602165685,220,8.850136737354124e-05
602165685,230,9.258630200026976e-05
602165685,240,0.00010175187115751597
602165685,250,0.00010987310478644647
602165685,260,0.00011467165277560365
602165685,270,0.00011812488025865084
602165685,280,0.00010656339213334126
602165685,290,8.399735195484644e-05
602165685,30,7.85602964290412e-05
602165685,300,6.929136644251709e-05
602165685,310,5.4419148755727634e-05
602165685,320,3.590696400918955e-05
602165685,330,2.4104554468294085e-05
602165685,340,1.2018159905194262e-05
602165685,350,1.263846331186637e-06
602165685,40,9.18944743874674e-05
602165685,50,0.00010145929455670583
602165685,60,0.0001048420157635422
602165685,70,0.00011710386305302714
602165685,80,0.00012034109753990553
602165685,90,0.00012172134659311657
653804581,0,8.875224276740448e-05
653804581,10,0.0001353487025302291
653804581,100,0.00013059424592696937
653804581,110,0.00012366973923561163
653804581,120,0.00012447374695248093
653804581,130,0.00011692470048997892
653804581,140,0.00011196819625376867
653804581,150,0.00010945649933125849
653804581,160,9.942229730533192e-05
653804581,170,8.175539448709173e-05
653804581,180,3.6871370750353e-05
653804581,190,2.2857825483573053e-05
653804581,20,0.00015693891556287724
653804581,200,7.64082594017127e-05
653804581,210,0.00013329195889929198
653804581,220,0.00018072455861351973
653804581,230,0.0002197800047658841
653804581,240,0.0002551556041809396
653804581,250,0.000278449850013067
653804581,260,0.0002897109605816752
653804581,270,0.00028455508152117135
653804581,280,0.00026927719429547576
653804581,290,0.00024283342592458707
653804581,30,0.00017043742056136862
653804581,300,0.00022192054718292336
653804581,310,0.00019350728386433274
653804581,320,0.00015039351196244522
653804581,330,0.00011379244535560904
653804581,340,4.835947605125898e-05
653804581,350,2.657978892471298e-05
653804581,40,0.00016842730874323992
653804581,50,0.00016544841404767305
653804581,60,0.00015490721058426758
653804581,70,0.00014221907927033052
653804581,80,0.00013874382218523595
653804581,90,0.00013468771852722918
653854241,0,4.7355427131361445e-05
653854241,10,9.917838878505635e-07
653854241,100,0.00024383474610101914
653854241,110,0.00023729200616753329
653854241,120,0.00022859640477316628
653854241,130,0.00022365056749259061
653854241,140,0.00021310268328211332
653854241,150,0.00019920486545788854
653854241,160,0.00017070657204980148
653854241,170,0.00014065813154146717
653854241,180,0.00011191178741726445
653854241,190,6.98404356733306e-05
653854241,20,6.430733291935451e-05
653854241,200,1.822707956985605e-05
653854241,210,3.420012544385271e-05
653854241,220,9.980809563123422e-05
653854241,230,0.00015306597854271178
653854241,240,0.00020688624538008025
653854241,250,0.00025000486111105726
653854241,260,0.00029017218470841127
653854241,270,0.00031584548417386553
653854241,280,0.00032681323400872246
653854241,290,0.000320826302499383
653854241,30,0.00011613932855052985
653854241,300,0.0003016031247289234
653854241,310,0.00027857993913942583
653854241,320,0.0002420278333314744
653854241,330,0.00020092695588050884
653854241,340,0.00014361195320625203
653854241,350,9.450814941648271e-05
653854241,40,0.00015874351376606258
653854241,50,0.00018181473643419035
653854241,60,0.00020661434273745898
653854241,70,0.0002283727983202129
653854241,80,0.0002380918474502836
653854241,90,0.00024494920704098435
654180841,0,3.2919791422813136e-05
654180841,10,3.281786210793327e-05
654180841,100,0.00018258689258758798
654180841,110,0.00020563705421055745
654180841,120,0.00022642680194298294
654180841,130,0.0002485343942065604
654180841,140,0.0002860378237902339
654180841,150,0.00029361557149740105
654180841,160,0.00030231430436030544
654180841,170,0.0002996871070094543
654180841,180,0.00025045799167483295
654180841,190,0.0001817008674072011
654180841,20,0.0001070715796761111
654180841,200,7.644926139959354e-05
654180841,210,1.5291416547582166e-05
654180841,220,0.00011754460199979073
654180841,230,0.00022046310022528145
654180841,240,0.0003089735286684945
654180841,250,0.0003342473529595935
654180841,260,0.00033946904052139387
654180841,270,0.0003557753286637689
654180841,280,0.0003800839583296609
654180841,290,0.0003948408650651167
654180841,30,0.0001383985474500759
654180841,300,0.0003749961814859303
654180841,310,0.00033990358275698976
654180841,320,0.00029017330287564895
654180841,330,0.0002656770951061293
654180841,340,0.00019863528483260852
654180841,350,0.00011923002865985998
654180841,40,0.00015024210651754704
654180841,50,0.00014032886659113913
654180841,60,0.0001312040687000197
654180841,70,0.0001221767565505628
654180841,80,0.00012933025687763056
654180841,90,0.0001447271927737198
665713811,0,4.769363363045193e-05
665713811,10,1.1052210735336992e-05
665713811,100,0.0001441866040163918
665713811,110,0.0001345858545364442
665713811,120,0.00011982542135605645
665713811,130,0.00010373427307808218
665713811,140,9.216144149343239e-05
665713811,150,8.000875849685338e-05
665713811,160,6.669744035415944e-05
665713811,170,5.238480215852682e-05
665713811,180,3.28542401409195e-05
665713811,190,9.950703974116723e-06
665713811,20,2.332728681961045e-05
665713811,200,9.50009189303703e-06
665713811,210,4.443760866356052e-05
665713811,220,8.382926154674353e-05
665713811,230,0.00011996083623685515
665713811,240,0.00015245021604612868
665713811,250,0.00017123193235080384
665713811,260,0.00018471484114543506
665713811,270,0.00019751043161183232
665713811,280,0.00019760316675636932
665713811,290,0.0001868974583565598
665713811,30,7.937027146773835e-05
665713811,300,0.0001693035350078131
665713811,310,0.00016225931028846565
665713811,320,0.00014597224696364308
665713811,330,0.0001332315918592226
665713811,340,0.00010752255907840643
665713811,350,8.350852566010443e-05
665713811,40,0.00012140045944948754
665713811,50,0.00014691873644734948
665713811,60,0.00016703598555514986
665713811,70,0.00017064347196922423
665713811,80,0.00017339390900533803
665713811,90,0.00016129494705260822
677088033,0,2.3061754960053564e-05
677088033,10,4.724411177132512e-05
677088033,100,0.0001118242282200813
677088033,110,0.00011503405516082007
677088033,120,0.0001235137258817547
677088033,130,0.00012548667847988814
677088033,140,0.00012423313999122734
677088033,150,0.00012061669997379737
677088033,160,0.00011461799878413765
677088033,170,0.00010077802969558103
677088033,180,8.515929244084426e-05
677088033,190,6.19773749433104e-05
677088033,20,5.4116177521137637e-05
677088033,200,1.4203074667689064e-05
677088033,210,3.269623272050882e-05
677088033,220,6.936047434578064e-05
677088033,230,9.78692012473712e-05
677088033,240,0.00012877460947863681
677088033,250,0.0001518717682129674
677088033,260,0.00017260761212595243
677088033,270,0.0001887722523458192
677088033,280,0.0002030217214574274
677088033,290,0.00020679438320274517
677088033,30,5.680270265013818e-05
677088033,300,0.00019306379864856145
677088033,310,0.00017075753414048098
677088033,320,0.00012774408545171496
677088033,330,8.978956603633356e-05
677088033,340,5.6289149876356574e-05
677088033,350,1.716779544082821e-05
677088033,40,5.50695032252867e-05
677088033,50,5.702216485076898e-05
677088033,60,6.175251884028371e-05
677088033,70,7.359621378808065e-05
677088033,80,8.149630789892e-05
677088033,90,9.445487416531122e-05
685806309,0,7.90197118701512e-05
685806309,10,2.1942947187058822e-05
685806309,100,0.00022444717774231188
685806309,110,0.00022013072720812298
685806309,120,0.00022894022455017217
685806309,130,0.00023411678858993793
685806309,140,0.00021973444255664462
685806309,150,0.00020680622208035722
685806309,160,0.00020101585509854929
685806309,170,0.0001887976999792542
685806309,180,0.0001856692354574974
685806309,190,0.00018285612953915535
685806309,20,7.20531953672715e-05
685806309,200,0.00012687409827670358
685806309,210,4.633194370771125e-05
685806309,220,2.4622136594056354e-05
685806309,230,0.00011654150061206658
685806309,240,0.00022963820407661991
685806309,250,0.0003283122698068194
685806309,260,0.00040418847853887475
685806309,270,0.00045100044433770163
685806309,280,0.00047020181509577127
685806309,290,0.0004998640904771066
685806309,30,0.00011722291261259586
685806309,300,0.0004876043107549065
685806309,310,0.000449173216956997
685806309,320,0.00039747625984255433
685806309,330,0.0003282901250623416
685806309,340,0.0002554958405886585
685806309,350,0.00017723807626587485
685806309,40,0.00015381398252415664
685806309,50,0.00017491932387626513
685806309,60,0.0001873684696087075
685806309,70,0.00019582093307656217
685806309,80,0.000198533907944158
685806309,90,0.00020633995788891057
685814252,0,8.780995758260114e-06
685814252,10,2.3651448758297e-06
685814252,100,6.68587414928494e-05
685814252,110,6.375196444628508e-05
685814252,120,6.53429953805401e-05
685814252,130,6.75595589055894e-05
685814252,140,5.794591439274953e-05
685814252,150,4.83373628581304e-05
685814252,160,3.923401072736116e-05
685814252,170,2.8266981113968144e-05
685814252,180,1.5854117216518438e-05
685814252,190,3.4619131952055787e-06
685814252,20,1.3474184591453363e-05
685814252,200,1.2994371092784012e-05
685814252,210,3.0084019630713367e-05
