cell,rotation,estimate
541557114,0,0.1024141513382292
541557114,10,0.10605143463206235
541557114,100,0.07868804401341356
541557114,110,0.09260943921977219
541557114,120,0.08803739149535458
541557114,130,0.12201752358325454
541557114,140,0.10223142660015959
541557114,150,0.09642047770679749
541557114,160,0.0944657999785026
541557114,170,0.09933342258394126
541557114,180,0.08507653662150622
541557114,190,0.1023114252911599
541557114,20,0.11120828634909348
541557114,200,0.09430029752178366
541557114,210,0.0927026030692087
541557114,220,0.09682365955617246
541557114,230,0.10245573716845806
541557114,240,0.1022052986148847
541557114,250,0.12271962209438295
541557114,260,0.14283227893827674
541557114,270,0.24223379765754538
541557114,280,0.16179793809526966
541557114,290,0.16827103942191252
541557114,30,0.11308354233813872
541557114,300,0.13307943091050373
541557114,310,0.13017222632714026
541557114,320,0.09993329991470973
541557114,330,0.1026163564963059
541557114,340,0.10212779569446817
541557114,350,0.09671809216940541
541557114,40,0.1083955954162396
541557114,50,0.10310112285941618
541557114,60,0.09497512959555275
541557114,70,0.10034709766923904
541557114,80,0.09603836395967347
541557114,90,0.06968578924992591
569835804,0,0.02099223807190444
569835804,10,0.014989465180961128
569835804,100,0.016227041356485047
569835804,110,0.02199263134515801
569835804,120,0.013921906461764689
569835804,130,0.016386973417030822
569835804,140,0.015420378139758575
569835804,150,0.016815766918554374
569835804,160,0.01950427325639396
569835804,170,0.019979068640747447
569835804,180,0.02290374836541348
569835804,190,0.02524867117391475
569835804,20,0.02081436169807392
569835804,200,0.028745166746086192
569835804,210,0.030924909018073574
569835804,220,0.026706420625540062
569835804,230,0.031493877485537336
569835804,240,0.02662721108930769
569835804,250,0.02137788760735255
569835804,260,0.024460615562426086
569835804,270,0.02319740140924317
569835804,280,0.02494711050399221
569835804,290,0.026732992774269715
569835804,30,0.022356603630660464
569835804,300,0.02820646059950565
569835804,310,0.026769905435513566
569835804,320,0.02688892479325381
569835804,330,0.02132669104184753
569835804,340,0.029816921760343427
569835804,350,0.0242357292648231
569835804,40,0.021509583899593593
569835804,50,0.02147147676610175
569835804,60,0.02023358813947524
569835804,70,0.01960667392971239
569835804,80,0.01988644052834455
569835804,90,0.01820328073197342
569860121,0,0.042516423526527805
569860121,10,0.041041837201822216
569860121,100,0.03935281262120487
569860121,110,0.0422956445580552
569860121,120,0.04213945882837741
569860121,130,0.037721777838802886
569860121,140,0.03198603186458806
569860121,150,0.03198662206064446
569860121,160,0.040331144914389286
569860121,170,0.03932480364144195
569860121,180,0.036185642703970566
569860121,190,0.030653352906675067
569860121,20,0.0422688051463074
569860121,200,0.03646473327146932
569860121,210,0.044685906475954995
569860121,220,0.050096956118489376
569860121,230,0.055196048731162926
569860121,240,0.06333057427524855
569860121,250,0.06967776835920883
569860121,260,0.0764284212108184
569860121,270,0.08369556397355098
569860121,280,0.07558491804585588
569860121,290,0.06635943688037377
569860121,30,0.042785513250552396
569860121,300,0.057662042677941255
569860121,310,0.05115173611230391
569860121,320,0.05040875368276082
