cell,rotation,estimate
541557114,0,2.2692416665514637e-05
541557114,10,5.0488980885737754e-05
541557114,100,8.337021985551541e-05
541557114,110,7.438353050392288e-05
541557114,120,6.022524556290193e-05
541557114,130,4.6717381161585686e-05
541557114,140,4.171651014926435e-05
541557114,150,4.240376320612668e-05
541557114,160,3.608506804140754e-05
541557114,170,2.817107217007057e-05
541557114,180,1.6550169056355194e-05
541557114,190,2.7453805629176437e-06
541557114,20,6.701225817939246e-05
541557114,200,2.7822950915900173e-05
541557114,210,4.6424866687009853e-05
541557114,220,7.456430746795738e-05
541557114,230,0.0001020065698068139
541557114,240,0.00012265439602523226
541557114,250,0.00014783251754785053
541557114,260,0.00017196555929446683
541557114,270,0.0001677512300412303
541557114,280,0.0001618772154689181
541557114,290,0.0001465634179581023
541557114,30,7.129501855966024e-05
541557114,300,0.0001267047863706481
541557114,310,0.00010718129611866992
541557114,320,9.072774850141344e-05
541557114,330,6.841609709783402e-05
541557114,340,3.4199528515247126e-05
541557114,350,7.2740157869222575e-06
541557114,40,7.737978586696442e-05
541557114,50,8.955643224055968e-05
541557114,60,9.210649358140687e-05
541557114,70,9.743480855199542e-05
541557114,80,0.00010029608530586539
541557114,90,9.719969564189702e-05
569835804,0,2.5685725680827104e-05
569835804,10,2.3256842380364067e-05
569835804,100,1.937273240484247e-05
569835804,110,2.403713160920885e-05
569835804,120,2.512464490560309e-05
569835804,130,2.6124243713350546e-05
569835804,140,2.7437995533281434e-05
569835804,150,2.9239703887449452e-05
569835804,160,3.101905183522181e-05
569835804,170,2.9094428029580285e-05
569835804,180,2.680834888820863e-05
569835804,190,2.48767278006043e-05
569835804,20,2.221147713987975e-05
569835804,200,2.3146374339272184e-05
569835804,210,2.076964357381717e-05
569835804,220,2.044920890412792e-05
569835804,230,1.958093753696517e-05
569835804,240,1.7655034458029376e-05
569835804,250,1.4790533551098535e-05
569835804,260,7.282023263049582e-06
569835804,270,2.666588706457533e-06
569835804,280,9.06696189562674e-06
569835804,290,1.4121170266855324e-05
569835804,30,1.853856933351448e-05
569835804,300,1.7666007730414958e-05
569835804,310,1.967722249171803e-05
569835804,320,2.2129745991793164e-05
569835804,330,2.429176277029849e-05
569835804,340,2.542384500418022e-05
569835804,350,2.6003411649527313e-05
569835804,40,1.6697942522337053e-05
569835804,50,1.4756762800169169e-05
569835804,60,9.159966690828302e-06
569835804,70,5.351451834351499e-07
569835804,80,9.156223109262475e-06
569835804,90,1.5278416083526444e-05
569860121,0,1.0575711170008021e-06
569860121,10,1.3970328070097212e-05
569860121,100,5.677058932088971e-05
569860121,110,5.289937277737697e-05
569860121,120,4.65420923631018e-05
569860121,130,4.2066173078350886e-05
569860121,140,3.708156722332329e-05
569860121,150,3.2840934913549434e-05
569860121,160,2.6789790920748783e-05
569860121,170,2.177462786826811e-05
569860121,180,1.2410444785646714e-05
569860121,190,2.260499150389056e-06
569860121,20,1.959647054741696e-05
569860121,200,8.259385016847256e-06
569860121,210,1.9134570347309996e-05
569860121,220,3.358522663254617e-05
569860121,230,4.756017615719221e-05
569860121,240,5.885919579729362e-05
569860121,250,6.490919221079204e-05
569860121,260,7.110127363255097e-05
569860121,270,7.56454007483942e-05
569860121,280,7.532415808296279e-05
569860121,290,6.917769764591683e-05
569860121,30,2.765843944079062e-05
569860121,300,6.136828468664347e-05
569860121,310,5.279329958133305e-05
569860121,320,4.304908335266783e-05
569860121,330,3.1433789416408126e-05
569860121,340,2.0714288754918338e-05
569860121,350,9.972439887986295e-06
569860121,40,3.6936373446414194e-05
569860121,50,4.4158880332618834e-05
569860121,60,5.077987979455326e-05
569860121,70,5.443057875747668e-05
569860121,80,5.757105582143819e-05
569860121,90,5.975149743146337e-05
571732727,0,0.00014332888237752643
571732727,10,0.0001779615151951565
571732727,100,0.00015556095575097983
571732727,110,0.00014478423969880338
571732727,120,0.00014218588539381056
571732727,130,0.0001457585008172503
571732727,140,0.0001190404501148451
571732727,150,9.989371122004766e-05
571732727,160,8.03222768382286e-05
571732727,170,6.848716909601799e-05
571732727,180,2.7202628318879057e-05
571732727,190,1.5521985127918476e-05
571732727,20,0.00019599401951312848
571732727,200,6.743483985686052e-05
571732727,210,0.00011098323581314602
571732727,220,0.00014536689473584506
571732727,230,0.0002453843292896424
571732727,240,0.00030541022420357833
571732727,250,0.000342356246240215
571732727,260,0.0003445823933299961
571732727,270,0.0003254306437021692
571732727,280,0.00029970799805728777
571732727,290,0.0002609540046623431
571732727,30,0.00022566344514005134
571732727,300,0.00018457253837544056
571732727,310,0.0001336215839058914
571732727,320,0.00010330308395184404
571732727,330,5.383948505483201e-05
571732727,340,2.4647492756759966e-05
571732727,350,8.86403526631852e-05
571732727,40,0.00025019381229227664
571732727,50,0.00022253806369728886
571732727,60,0.00020731485934831273
571732727,70,0.00020263308410524167
571732727,80,0.00019062508418721735
571732727,90,0.0001746992421130199
576110753,0,1.0200309624456191e-05
576110753,10,3.28232301773192e-06
576110753,100,6.485208444298846e-05
576110753,110,7.202995569336403e-05
576110753,120,8.408292148978945e-05
576110753,130,9.176993510111414e-05
576110753,140,9.201887872505047e-05
576110753,150,8.335370831417518e-05
576110753,160,6.740239526390097e-05
576110753,170,4.8226079071746745e-05
576110753,180,3.381279619890816e-05
576110753,190,2.3840302699954934e-05
576110753,20,1.591200486536151e-06
576110753,200,9.22809509622707e-06
576110753,210,7.559624439515015e-06
576110753,220,2.484565975992696e-05
576110753,230,3.9733250665495875e-05
576110753,240,5.372701445852068e-05
576110753,250,6.931011880600496e-05
576110753,260,7.613194591878999e-05
576110753,270,7.24503019813987e-05
576110753,280,8.075007641864138e-05
576110753,290,9.378691243444266e-05
576110753,30,1.2193169448281351e-05
576110753,300,0.00010069002372112452
576110753,310,9.571822915012972e-05
576110753,320,8.409201009870987e-05
576110753,330,6.39696082158576e-05
576110753,340,4.808014513811104e-05
576110753,350,2.8459953299365845e-05
576110753,40,2.3584956756408863e-05
576110753,50,2.976556368165636e-05
576110753,60,3.761577642207843e-05
576110753,70,4.5584848118302356e-05
576110753,80,4.7724311232523144e-05
576110753,90,5.832518851110722e-05
576118161,0,5.249460829186147e-05
576118161,10,2.67967774415879e-05
576118161,100,0.00010894312152036483
576118161,110,0.0001185951979232375
576118161,120,0.0001200892439248577
576118161,130,0.00011857970922633514
576118161,140,0.00011313118629517629
576118161,150,0.00010394630072104623
576118161,160,8.912257917338717e-05
576118161,170,8.14532457650422e-05
576118161,180,7.207838386988965e-05
576118161,190,6.394063751176014e-05
576118161,20,1.1653408702651143e-05
576118161,200,4.4123588092613294e-05
576118161,210,2.5753696182009033e-05
576118161,220,3.2896106368594723e-06
576118161,230,1.2960589921001738e-05
576118161,240,2.3457342990153107e-05
576118161,250,3.254661270908817e-05
576118161,260,4.5016583155472144e-05
576118161,270,6.830881524768785e-05
576118161,280,7.771568770669877e-05
576118161,290,9.643580820333227e-05
576118161,30,6.554182697764742e-06
576118161,300,0.00010273937865470088
576118161,310,0.0001011856399564677
576118161,320,9.535018460692445e-05
576118161,330,8.889184241740165e-05
576118161,340,7.070960098653115e-05
576118161,350,6.244356248496247e-05
576118161,40,2.5996231525234145e-05
576118161,50,5.0510233799876536e-05
576118161,60,6.614832994496201e-05
576118161,70,7.870241696410194e-05
576118161,80,9.083317048806116e-05
576118161,90,9.762251250529041e-05
595572609,0,5.70417191291085e-05
595572609,10,7.252131196134763e-05
595572609,100,9.982845664549767e-05
595572609,110,0.00010617764639982648
595572609,120,0.00012292318010329763
595572609,130,0.00010410091290142249
595572609,140,8.983690390931396e-05
595572609,150,8.472820237268764e-05
595572609,160,6.859751896680037e-05
595572609,170,4.6921698436671474e-05
595572609,180,1.43793450497707e-05
595572609,190,2.338750199328901e-05
595572609,20,8.481874837323723e-05
595572609,200,6.264405942427045e-05
595572609,210,9.488080484037426e-05
595572609,220,0.000132414933176528
595572609,230,0.0001601429725971819
595572609,240,0.00018243041599623716
595572609,250,0.00020127346082640999
595572609,260,0.00020877305067666668
595572609,270,0.00020753748422663634
595572609,280,0.00019257434011647322
595572609,290,0.00016564047818585072
