cell,rotation,estimate
569835804,80,1.7475349889873339e-06
569835804,90,4.563184832774825e-06
569860121,0,1.4515791695737018e-05
569860121,10,1.4371759812614507e-06
569860121,100,4.67381783460528e-05
569860121,110,4.3360229160005775e-05
569860121,120,3.664181221826964e-05
569860121,130,3.281984757869274e-05
569860121,140,2.7697282649190266e-05
569860121,150,2.03726583457839e-05
569860121,160,1.4406036869529952e-05
569860121,170,7.054825201717177e-06
569860121,180,1.80127761082908e-06
569860121,190,1.5109310110961677e-05
569860121,20,5.228122033571953e-06
569860121,200,2.247037905685673e-05
569860121,210,3.33520188377301e-05
569860121,220,4.765021877125456e-05
569860121,230,6.0900576111508166e-05
569860121,240,6.87012906462082e-05
569860121,250,7.470553289845762e-05
569860121,260,8.108803283055192e-05
569860121,270,8.382317468460405e-05
569860121,280,8.069651710929537e-05
569860121,290,7.660224518594782e-05
569860121,30,1.3823286837378197e-05
569860121,300,6.830217603344272e-05
569860121,310,6.229683736053276e-05
569860121,320,5.406314102651562e-05
569860121,330,4.3165720292949964e-05
569860121,340,3.4281887383530636e-05
569860121,350,2.446816173528778e-05
569860121,40,2.5164332423920027e-05
569860121,50,3.498462234792701e-05
569860121,60,4.0409543479426304e-05
569860121,70,4.394516375920438e-05
569860121,80,4.8284867812507646e-05
569860121,90,4.997218775362645e-05
571732727,0,1.640575043661043e-05
571732727,10,6.86247560283016e-05
571732727,100,0.00010785441565198481
571732727,110,9.066694282820241e-05
571732727,120,6.899481003280877e-05
571732727,130,5.165551579001506e-05
571732727,140,3.876303500435596e-05
571732727,150,3.072448693390824e-05
571732727,160,9.209247898303623e-06
571732727,170,2.207344807548025e-05
571732727,180,8.442440926993114e-05
571732727,190,0.00014383311168087305
571732727,20,0.00011390607602718698
571732727,200,0.00021393212734630013
571732727,210,0.0002678856216391387
571732727,220,0.0003269789364781193
571732727,230,0.00036564300480879184
571732727,240,0.00039330185538161903
571732727,250,0.0004123423820096537
571732727,260,0.0004196909902795602
571732727,270,0.0004049054345760494
571732727,280,0.00038050610997924773
571732727,290,0.00034674618744300533
571732727,30,0.0001381196604445146
571732727,300,0.0002999502016498767
571732727,310,0.00024742496893125456
571732727,320,0.00020195500551230142
571732727,330,0.0001605168782659368
571732727,340,0.000108880687427618
571732727,350,5.5150626554818484e-05
571732727,40,0.00015074516430140455
571732727,50,0.00015565092243676105
571732727,60,0.00015317259486308238
571732727,70,0.0001493257502899613
571732727,80,0.0001418027167576452
571732727,90,0.00012495724877683328
576110753,0,3.68826066332154e-05
576110753,10,2.0904308666901427e-05
576110753,100,4.576089045440674e-05
576110753,110,5.375040468003146e-05
576110753,120,6.44491531493312e-05
576110753,130,7.290465304107658e-05
576110753,140,6.848444060534934e-05
576110753,150,5.769978772381516e-05
576110753,160,4.360027907526167e-05
576110753,170,2.4691115339602172e-05
576110753,180,8.029500582477607e-06
576110753,190,8.98689936305677e-06
576110753,20,1.6467038442008498e-05
576110753,200,1.5807315578137603e-05
576110753,210,3.1631192079063215e-05
576110753,220,4.637102270045242e-05
576110753,230,5.9404183778012166e-05
576110753,240,7.366775755488473e-05
576110753,250,8.924050454852365e-05
576110753,260,9.582317829131371e-05
576110753,270,0.00010701185954441425
576110753,280,0.00011121359201019615
576110753,290,0.0001172002459496925
576110753,30,3.952717615651315e-06
576110753,300,0.00012340625743934757
576110753,310,0.00012563348061621086
576110753,320,0.00011345925513448553
576110753,330,9.517051427455323e-05
576110753,340,7.580128591811613e-05
576110753,350,5.4001109487677103e-05
576110753,40,6.4358936349778945e-06
576110753,50,1.4023895670692207e-05
576110753,60,2.313176668228845e-05
576110753,70,3.298531556855989e-05
576110753,80,3.512712645973898e-05
576110753,90,4.3623213438497195e-05
576118161,0,8.288028138615111e-05
576118161,10,5.89346864115257e-05
576118161,100,7.650196305303411e-05
576118161,110,8.669347800625547e-05
576118161,120,9.15679787304022e-05
576118161,130,8.771575288345752e-05
576118161,140,8.705987511601048e-05
576118161,150,7.834381608552074e-05
576118161,160,6.747791365139329e-05
576118161,170,6.012001166247734e-05
576118161,180,4.8611351183104914e-05
576118161,190,2.8002130940011296e-05
576118161,20,4.178623829073116e-05
576118161,200,1.3800321847898484e-05
576118161,210,4.3565367487193745e-06
576118161,220,2.3925943778439662e-05
576118161,230,4.079231390090102e-05
576118161,240,5.6915561572333435e-05
576118161,250,7.311979540628764e-05
576118161,260,8.698889438635746e-05
576118161,270,9.766803442068326e-05
576118161,280,0.00011719318292033907
576118161,290,0.00012859751266680348
576118161,30,2.2942123518152048e-05
576118161,300,0.00013511745801761594
576118161,310,0.0001311647948514156
576118161,320,0.00013009743621884918
576118161,330,0.00012028438218404303
576118161,340,0.00010751757624852566
576118161,350,9.781997308642167e-05
576118161,40,2.7958702342485076e-06
576118161,50,1.4347858917938808e-05
576118161,60,2.9076407210378262e-05
576118161,70,4.2875193393775256e-05
576118161,80,5.335560010904528e-05
576118161,90,6.145648293748323e-05
595572609,0,4.0242854933131944e-05
595572609,10,1.4216985337765022e-06
595572609,100,0.00012302911310916153
595572609,110,0.00012940820127249473
595572609,120,0.00012912411062464344
595572609,130,0.00011942954105922853
595572609,140,0.00010595013191270304
595572609,150,9.633687451559111e-05
595572609,160,6.854490783146655e-05
595572609,170,2.8553826347705048e-05
595572609,180,2.0407007514857344e-05
595572609,190,7.741396836996017e-05
595572609,20,3.622892377401611e-05
595572609,200,0.00013519036243963054
595572609,210,0.0001872349238773245
595572609,220,0.00022184186838142695
595572609,230,0.00024990125080267417
595572609,240,0.00027453218900145676
595572609,250,0.00030142976121106096
595572609,260,0.00031215970418875527
595572609,270,0.0003188904767481818
595572609,280,0.00031726307784447417
595572609,290,0.0003087013931595535
595572609,30,6.542445052305464e-05
595572609,300,0.0002877643668453033
595572609,310,0.0002451316635207544
595572609,320,0.00020600483453901312
595572609,330,0.0001750785092545246
595572609,340,0.00013117068051919946
595572609,350,8.426850623346215e-05
595572609,40,7.576064586480496e-05
595572609,50,8.553803589448558e-05
595572609,60,9.276198100353547e-05
595572609,70,0.00010551303006198267
595572609,80,0.00010956692348226311
595572609,90,0.00011633164152767095
595583062,0,3.375568528982311e-05
595583062,10,3.4588004222689745e-05
595583062,100,3.136488926105119e-05
595583062,110,3.220486816160194e-05
595583062,120,3.690830471099045e-05
595583062,130,3.8577588373055904e-05
595583062,140,3.813847567135314e-05
595583062,150,3.1758719000177196e-05
595583062,160,2.6604042215947306e-05
595583062,170,2.239260217281265e-05
595583062,180,2.298694285766676e-05
595583062,190,2.4303795909897536e-05
595583062,20,3.316378234241037e-05
595583062,200,2.1920846804934442e-05
595583062,210,1.4080706356176635e-05
595583062,220,9.066989119502549e-06
595583062,230,8.221021742350014e-07
595583062,240,1.306184037708885e-05
595583062,250,2.577550184973308e-05
595583062,260,3.954317425280507e-05
595583062,270,5.492761544864076e-05
595583062,280,6.407628794812143e-05
595583062,290,6.412825547850599e-05
595583062,30,2.7320642648433552e-05
595583062,300,6.641824079238248e-05
595583062,310,6.513660537718784e-05
595583062,320,6.153897905311506e-05
595583062,330,5.108909132517233e-05
595583062,340,4.246128719480391e-05
595583062,350,3.5245390446196376e-05
595583062,40,2.553833755221933e-05
595583062,50,2.0652050819173852e-05
595583062,60,9.780518474279045e-06
595583062,70,9.461498673136757e-07
595583062,80,9.648424391004293e-06
595583062,90,2.3078896394394528e-05
602165685,0,3.813199382372029e-05
602165685,10,2.762052192701012e-05
602165685,100,6.980000311410065e-05
602165685,110,6.470471780483321e-05
602165685,120,5.534116482565893e-05
602165685,130,5.192320449418928e-05
602165685,140,4.3307233441508505e-05
602165685,150,3.599259842920265e-05
602165685,160,3.083410359148925e-05
602165685,170,2.0142303737894605e-05
602165685,180,9.410910546287363e-06
602165685,190,8.846711938624559e-07
602165685,20,1.0842006323465096e-05
602165685,200,1.6968447269163415e-05
602165685,210,2.8738663054358013e-05
602165685,220,4.075907528049208e-05
602165685,230,5.148082408713284e-05
602165685,240,6.0755163195007465e-05
602165685,250,6.873427401440539e-05
602165685,260,7.942231807683612e-05
602165685,270,9.002378579342721e-05
602165685,280,9.141044932460597e-05
602165685,290,8.591444150137881e-05
602165685,30,1.8481382638718414e-06
602165685,300,7.678251165439334e-05
602165685,310,7.489943785704568e-05
602165685,320,6.712861039846639e-05
602165685,330,6.156054304536651e-05
602165685,340,5.7972724765466385e-05
602165685,350,4.8499280718629404e-05
602165685,40,1.4839480463061153e-05
602165685,50,2.6543313380693042e-05
602165685,60,3.7704040278540896e-05
602165685,70,4.627721633664388e-05
602165685,80,5.711285182121887e-05
602165685,90,6.762661580268178e-05
653804581,0,0.00017256672954491772
653804581,10,0.0001567133154785267
653804581,100,3.6413752787320495e-05
653804581,110,5.64901932767972e-05
653804581,120,7.169547591466892e-05
653804581,130,8.550627647166753e-05
653804581,140,9.764291237987708e-05
653804581,150,9.994396516327514e-05
653804581,160,0.00010218902994697094
653804581,170,9.566329278332219e-05
653804581,180,7.194548987008096e-05
